parent_strain	strain	parent_country	country	date	dist	desc_count	total_proportion	country_proportion
NODE_0003534	Netherlands/ZuidHolland_92/2020	Sweden	Netherlands	2020.2445355191257	0.028600153481875168	2.0	0.0002575328354365182	0.012987012987012988
NODE_0003537	France/B2337/2020	USA	France	2020.1734972677596	0.002979523232397696	2.0	0.0002575328354365182	0.017241379310344827
NODE_0003542	Canada/ON_PHL3650/2020	USA	Canada	2020.184426229508	0.005545120268152459	2.0	0.0002575328354365182	0.02127659574468085
NODE_0003572	Belgium/ITM_C211/2020	USA	Belgium	2020.25	0.05406250697797077	5.0	0.0006438320885912954	0.009174311926605505
NODE_0003583	Fujian/IM3520001T/2020	USA	China	2020.200819672131	0.022181118456273907	2.0	0.0002575328354365182	0.005208333333333333
NODE_0003590	NODE_0003592	USA	Austria	2020.2035519125682	0.011038083607672888	6.0	0.0007725985063095545	0.023255813953488372
NODE_0003679	Netherlands/NA_300/2020	USA	Netherlands	2020.2527322404371	0.022750339647700457	3.0	0.00038629925315477725	0.012987012987012988
NODE_0003605	USA/VA-DCLS-0052/2020	Chile	USA	2020.2418032786884	0.011233454359853567	2.0	0.0002575328354365182	0.0019646365422396855
NODE_0003609	Thailand/Bangkok-0045/2020	USA	Thailand	2020.2418032786884	0.011403583739365786	2.0	0.0002575328354365182	0.034482758620689655
NODE_0003661	Poland/1105644/2020	Chile	Poland	2020.214480874317	0.0016709406093013968	2.0	0.0002575328354365182	0.09090909090909091
NODE_0003664	Thailand/Bangkok-0038/2020	USA	Thailand	2020.233606557377	0.0033711149922055483	2.0	0.0002575328354365182	0.034482758620689655
NODE_0003663	NODE_0003666	USA	Colombia	2020.2198897857288	0.017100238606872153	6.0	0.0007725985063095545	0.05263157894736842
NODE_0003718	Germany/NRW-53/2020	USA	Germany	2020.2035519125682	0.007507783376013322	2.0	0.0002575328354365182	0.02564102564102564
NODE_0003726	NODE_0003727	USA	Thailand	2020.214480874317	0.0082991758024491	36.0	0.004635591037857327	0.034482758620689655
NODE_0003733	Netherlands/Drente_1/2020	USA	Netherlands	2020.233606557377	0.0033711149922055483	2.0	0.0002575328354365182	0.012987012987012988
NODE_0003758	NODE_0003760	USA	Chile	2020.2135566096406	0.008375803517310487	42.0	0.005408189544166882	0.02702702702702703
